name,type,mass_solar,age_gyr,distance_pc,lifespan_gyr,papers
Kepler-1288 b,star,1.2,2.88,814.078,6.33938145260609,1624
Kepler-128 b,star,1.184,4.07,396.379,6.555725250077468,2276
Kepler-1245 b,star,0.86,4.57,805.936,14.579877393650408,224
Kepler-1068 b,star,1.01,4.17,1473.61,9.754310265758154,3322
Kepler-311 c,star,0.994,1.95,778.654,10.151589292862802,1791
Kepler-150 e,star,0.956,1.74,891.092,11.190648876524536,2703
Kepler-272 c,star,0.91,13.18,889.608,12.65891603335247,2863
Kepler-152 c,star,0.779,2.0,441.09,18.670517506318753,4250
Kepler-1506 b,star,0.95,3.98,2366.02,11.368181186539104,4267
HAT-P-22 b,star,1.13,12.4,81.7647,7.367224280551316,1736
K2-25 b,star,0.2634,0.73,44.9565,100.0,3689
CoRoT-3 b,star,1.37,2.2,768.771,4.551961520148973,2907
HD 205739 b,star,1.22,2.84,92.5087,6.082756385549485,2344
NGTS-10 b,star,0.696,10.4,324.69865036,24.744398486289896,2431
HD 224693 b,star,1.31,4.12,93.5015,5.091218790635964,3654
HD 156279 b,star,0.94,4.1,36.1945,11.672943031448547,3266
HD 12661 b,star,1.2,6.39,37.8478,6.33938145260609,3530
2MASS J12073346-3932539 b,star,0.024,0.008,64.308,100.0,1580
HD 16417 b,star,1.2,7.0,25.3936,6.33938145260609,2426
HD 19994 b,star,1.365,2.4,22.5242,4.593760737548208,1603
61 Vir b,star,0.942,8.96,8.50332,11.61108335989013,3418
HD 156279 c,star,0.94,4.1,36.1945,11.672943031448547,2971
GJ 179 b,star,0.357,5.0,12.356,100.0,1026
GQ Lup b,star,0.7,0.001,151.169,24.392420598661097,636
GJ 832 b,star,0.45,8.1,4.96435,73.61540666665974,1128
HD 37605 b,star,0.94,5.65,46.7864,11.672943031448547,4206
HD 33283 b,star,1.38,3.63,89.8623,4.469946076237916,4017
Kepler-4 b,star,1.223,4.5,487.916,6.045522716609205,4684
HD 9446 b,star,1.0,5.0,50.3503,10.0,4761
61 Vir c,star,0.942,8.96,8.50332,11.61108335989013,3701
61 Vir d,star,0.942,8.96,8.50332,11.61108335989013,3111
HD 134987 c,star,1.1,8.4,26.1804,7.8798561094677035,4169
HD 110014 b,star,2.17,0.95,100.758,1.4416195572259567,1729
HD 79498 b,star,1.08,2.71,48.9489,8.249746644799178,4286
WASP-43 b,star,0.58,7.0,86.7467,39.03282784177247,1253
HD 45652 b,star,0.92,8.4,34.8541,12.317722947606022,4591
HIP 79431 b,star,0.49,5.0,14.5324,59.49901826619861,4884
HD 3167 b,star,0.837,7.8,47.2899,15.60221847726522,4212
GJ 876 b,star,0.32,1.0,4.67517,100.0,1993
HD 114783 c,star,0.9,6.0,21.0628,13.01348831345012,2300
HD 47186 c,star,0.96,6.5,37.4574,11.074443643225452,4808
HD 114783 b,star,0.853,6.0,21.0628,14.88083914131118,3779
HD 148156 b,star,1.22,5.0,57.1289,6.082756385549485,2676
HD 12661 c,star,1.02,6.39,37.8478,9.516989071286758,1910
HIP 14810 c,star,1.01,5.84,50.48,9.754310265758154,2792
HIP 14810 b,star,1.01,5.84,50.48,9.754310265758154,233
GJ 876 d,star,0.32,1.0,4.67517,100.0,1623
GJ 876 e,star,0.32,1.0,4.67517,100.0,4845
gam1 Leo b,star,1.23,2.412,39.8883,5.959875964488283,391
HAT-P-12 b,star,0.733,2.5,142.751,21.73902507068398,1713
HD 156411 b,star,1.25,4.28,56.8655,5.724334022399462,816
HD 8535 b,star,1.13,5.0,55.4401,7.367224280551316,3378
HD 37605 c,star,0.94,5.65,46.7864,11.672943031448547,906
K2-138 c,star,0.935,2.8,202.585,11.829624867626048,4355
HD 1605 c,star,1.33,4.36,88.8047,4.901972805269489,4616
HAT-P-18 b,star,0.77,12.4,161.4,19.22087644790655,1569
WASP-31 b,star,1.163,1.0,383.829,6.855682765528911,2487
BD+20 2457 b,star,2.8,5.0,1539.71,0.7622631437081593,2338
HD 240210 b,star,0.82,5.085,372.405,16.423486923683306,318
CoRoT-17 b,star,1.04,10.7,1176.12,9.06601956075185,4069
HD 132563 b,star,1.231,2.31,105.155,5.9477796092129385,2347
HD 55696 b,star,1.29,2.64,77.9693,5.2908533521160015,2844
HD 148164 b,star,1.21,2.41,77.1971,6.209213230591552,1916
24 Sex c,star,1.54,2.7,72.0691,3.3978030191658806,1213
K2-138 f,star,0.935,2.8,202.585,11.829624867626048,3445
CoRoT-5 b,star,1.0,6.9,882.472,10.0,795
HD 192310 c,star,0.8,7.81,8.79687,17.469281074217104,2795
HD 22781 b,star,0.75,4.8,32.6034,20.528009571186693,666
HD 68988 b,star,1.28,6.0,60.8447,5.394796609394436,1725
HD 148164 c,star,1.21,2.41,77.1971,6.209213230591552,4267
HD 29985 b,star,0.75,5.0,31.2707,20.528009571186693,574
HD 221416 b,star,1.212,4.9,95.5483,6.183629358171241,3974
HD 3167 c,star,0.837,7.8,47.2899,15.60221847726522,3521
HD 90156 b,star,0.84,4.4,21.9496,15.463285872731886,3490
KOI-217 b,star,0.95,1.7,914.699,11.368181186539104,2864
HD 45350 b,star,0.98,8.0,46.8733,10.518039822492824,4303
TrES-3 b,star,0.928,0.9,231.337,12.05396870090189,2751
WASP-10 b,star,0.75,7.0,140.998,20.528009571186693,1832
Kepler-14 b,star,1.512,2.2,798.0,3.5573002435124135,4475
MOA-2009-BLG-266L b,star,0.56,5.0,3040.0,42.61180515185337,4037
Kepler-15 b,star,1.018,3.7,739.412,9.563801530669084,271
Kepler-595 c,star,0.93,2.7,643.009,11.98926690635247,3071
Kepler-595 b,star,0.93,2.7,643.009,11.98926690635247,4705
HD 177830 c,star,1.47,4.4,62.7674,3.816863801389803,4757
ups And c,star,1.3,5.0,13.4054,5.189692421935083,1948
WASP-5 b,star,0.96,5.4,309.137,11.074443643225452,1480
OGLE-TR-111 b,star,0.82,8.8,1068.33,16.423486923683306,4339
Kepler-17 b,star,1.04,1.8,720.753,9.06601956075185,4377
CoRoT-18 b,star,0.95,0.6,764.889,11.368181186539104,587
HD 192310 b,star,0.8,7.81,8.79687,17.469281074217104,4088
PSR B1257+12 b,star,1.4,3.0,600.0,4.312011503716922,3425
PSR B1257+12 d,star,1.4,3.0,600.0,4.312011503716922,323
ups And d,star,1.3,5.0,13.4054,5.189692421935083,4487
MOA-2007-BLG-192L b,star,0.06,5.0,1000.0,100.0,2405
Kepler-40 b,star,1.48,2.8,2305.01,3.752716109052166,3361
TOI-756 b,star,0.505,3.2,86.1759,55.17871147772115,1441
HD 107148 b,star,1.12,5.6,49.4156,7.532774095368844,2530
SWEEPS-11 b,star,1.1,5.0,8500.0,7.8798561094677035,563
OGLE-TR-211 b,star,1.33,2.6,1515.26,4.901972805269489,4408
Lupus-TR-3 b,star,0.87,5.0,773.409,14.164520211887895,2418
OGLE-2005-BLG-390L b,star,0.22,5.0,6600.0,100.0,4078
HN Peg b,star,1.08,0.3,18.1186,8.249746644799178,3316
HD 102365 b,star,0.85,9.0,9.2894,15.01248843035683,1326
MOA-2009-BLG-387L b,star,0.19,5.0,5690.0,100.0,2949
GJ 674 b,star,0.35,0.55,4.54896,100.0,2941
WASP-96 b,star,1.06,8.0,352.464,8.64440959734126,963
HD 69830 c,star,0.86,7.0,12.5591,14.579877393650408,1901
2MASS J04414489+2301513 b,star,0.019,0.001,120.42398696,100.0,220
WASP-21 b,star,1.01,12.0,258.426,9.754310265758154,1035
GJ 3634 b,star,0.45,5.0,20.3779,73.61540666665974,1253
HAT-P-4 b,star,1.248,3.9,320.451,5.7472956252394285,1145
OGLE-TR-10 b,star,1.14,3.1,1344.97,7.206723696381149,4092
TOI-178 g,star,0.647,6.0,62.699,29.698827122297512,4145
TOI-178 e,star,0.647,6.0,62.699,29.698827122297512,3610
HD 27442 b,star,1.23,10.0,18.2704,5.959875964488283,4038
HD 69830 d,star,0.86,7.0,12.5591,14.579877393650408,1435
GJ 3021 b,star,0.9,0.37,17.5559,13.01348831345012,3691
HAT-P-16 b,star,1.218,2.0,226.637,6.107757409829145,1595
CoRoT-8 b,star,0.88,3.0,322.037,13.765542120067822,4619
OGLE-TR-113 b,star,0.779,13.2,566.459,18.670517506318753,1606
HD 46375 b,star,0.92,9.0,29.5529,12.317722947606022,1175
HD 147513 b,star,1.11,0.3,12.9032,7.703579220456934,429
HD 221287 b,star,1.25,1.3,55.9231,5.724334022399462,1489
HD 33564 b,star,1.25,3.0,20.9531,5.724334022399462,1473
CoRoT-11 b,star,1.27,2.0,655.037,5.501621361622628,4225
K2-138 g,star,0.935,2.8,202.585,11.829624867626048,2828
CoRoT-12 b,star,1.078,6.3,1126.37,8.288064035489468,1638
HAT-P-28 b,star,1.025,6.1,401.319,9.401352496367304,4744
HD 129445 b,star,0.99,5.0,67.4386,10.254441539222652,1110
Kepler-419 c,star,1.39,2.14,1011.36,4.389984626468459,152
GJ 3470 b,star,0.539,1.65,29.4214,46.884370259223566,1249
51 Eri b,star,1.75,0.02,29.7575,2.4683394155704637,3187
HD 70573 b,star,1.0,0.102,59.182,10.0,4000
HD 47536 b,star,2.1,10.15,122.536,1.5647745109803948,1630
CoRoT-13 b,star,1.09,1.635,1148.93,8.061832212954728,1531
CoRoT-14 b,star,1.13,4.2,1744.6,7.367224280551316,2679
47 UMa c,star,1.06,6.48,13.7967,8.64440959734126,4817
47 UMa b,star,1.06,6.48,13.7967,8.64440959734126,862
47 UMa d,star,1.06,6.48,13.7967,8.64440959734126,1146
MOA-2008-BLG-310L b,star,0.21,5.0,7700.0,100.0,4790
Kepler-419 b,star,1.39,2.14,1011.36,4.389984626468459,902
HD 24040 b,star,1.11,6.68,46.6224,7.703579220456934,967
K2-138 e,star,0.935,2.8,202.585,11.829624867626048,4479
HD 11964 c,star,0.91,7.45,33.5369,12.65891603335247,4652
CoRoT-6 b,star,1.05,2.5,645.294,8.851701341936808,3217
HAT-P-2 b,star,1.33,1.44,127.774,4.901972805269489,1782
Kepler-59 c,star,1.04,0.26,1163.22,9.06601956075185,3782
Kepler-58 c,star,0.95,2.14,969.252,11.368181186539104,108
HD 154857 c,star,1.718,5.64,63.4482,2.584890207373833,2391
GJ 357 d,star,0.342,5.0,9.44181,100.0,2138
Kepler-51 c,star,1.04,0.3,783.831,9.06601956075185,3989
BD-210397 c,star,0.69,4.0,23.7324,25.285833456368245,3369
Kepler-62 c,star,0.69,7.0,300.874,25.285833456368245,432
Kepler-62 b,star,0.69,7.0,300.874,25.285833456368245,563
CHXR 73 b,star,0.35,0.002,190.374,100.0,4368
FU Tau b,star,0.05,0.001,133.4950466,100.0,3276
GJ 667 C b,star,0.33,2.0,7.24396,100.0,3556
HD 168443 c,star,0.98,11.08,39.6245,10.518039822492824,462
Kepler-59 b,star,1.04,0.26,1163.22,9.06601956075185,1768
Kepler-53 b,star,0.98,0.3,1366.07,10.518039822492824,2026
HD 82943 c,star,1.08,2.35,27.5902,8.249746644799178,1064
HD 82943 b,star,1.08,2.35,27.5902,8.249746644799178,4357
UZ For b,star,0.7,5.0,239.60387482,24.392420598661097,3258
Kepler-69 b,star,0.81,13.18,730.625,16.935087808430286,3631
HIP 5158 c,star,0.78,6.0,51.6026,18.610733631567978,1418
HU Aqr AB b,star,0.88,5.0,192.19807871,13.765542120067822,1243
HD 63433 c,star,0.956,0.414,22.4035,11.190648876524536,3101
Kepler-52 c,star,0.54,1.01,321.542,46.66761436486774,3744
Kepler-55 b,star,0.62,2.34,578.796,33.03853459942521,443
UZ For c,star,0.7,5.0,239.60387482,24.392420598661097,3812
Kepler-413 b,star,0.82,5.0,847.536,16.423486923683306,3503
